k,steps,jahr,module,Q,top1,top2,rosenbluth
10,3,2016,145,0.758145460216324,0.17596447404940327,0.30925617540938105,0.023065473808876014
10,3,2017,162,0.7572629921816796,0.20330280321953928,0.2702608936996947,0.018268243525877477
10,3,2018,164,0.7712902228158784,0.177699139605884,0.2331390507910075,0.01644375782995338
10,3,2019,131,0.794660981387751,0.18755203996669442,0.24188176519567028,0.022092299579676067
10,3,2020,135,0.8024076645008502,0.2062864279766861,0.2808076602830974,0.023003990422984837
10,3,2021,157,0.7949681550983587,0.20142936441854012,0.25825700804884816,0.018239620931774808
10,3,2022,171,0.8034020053460678,0.15244240910352483,0.19893144601720789,0.015919514328888416
10,3,2023,134,0.804353476133645,0.19254787676935886,0.2416736053288926,0.021202473916190498
10,3,2024,129,0.8058594951673496,0.20253955037468777,0.2862892034415765,0.024013196261059366
10,4,2016,130,0.763407669816599,0.1682625589786289,0.3182764363030808,0.02519545181186277
10,4,2017,120,0.7631004991610445,0.2384818207049681,0.3161948376353039,0.026474348611988774
10,4,2018,116,0.7869425615330204,0.21051901193449904,0.2719955592561754,0.02546127808125278
10,4,2019,131,0.795160410833276,0.18623369414376909,0.2412572855953372,0.02130206901444674
10,4,2020,143,0.7989321464502208,0.184082708853733,0.22793505412156537,0.01944068244727059
10,4,2021,122,0.814475474650666,0.1721482098251457,0.24528170968637247,0.024536242543106972
10,4,2022,129,0.8153621905513544,0.1569525395503747,0.1967804607271718,0.021846624929891315
10,4,2023,125,0.817638824787516,0.145503746877602,0.2322370247016375,0.02280747842215041
10,4,2024,130,0.8195658028309383,0.1273938384679434,0.2326533444351929,0.021538994966463013
10,5,2016,110,0.7708363460361993,0.17547876769358867,0.30870108243130723,0.030089441553994806
10,5,2017,114,0.7767219404802695,0.17249514293644186,0.27921176797113517,0.027104694987549745
10,5,2018,97,0.7955451972198117,0.1818623369414377,0.3046072717180128,0.03340270985625617
10,5,2019,129,0.8016245168228606,0.16056064390785457,0.21294754371357202,0.02075060400210789
10,5,2020,128,0.8079864892355075,0.1821398834304746,0.2632528448515126,0.022351532596760485
10,5,2021,127,0.8122214562995184,0.16194837635303913,0.20642520122120456,0.021414816223669822
10,5,2022,123,0.822031126386873,0.12808770469053565,0.1965029142381349,0.023606492932138703
10,5,2023,116,0.8196391078069686,0.17443796835970024,0.23917568692756036,0.0251585941073168
10,5,2024,116,0.8136696314994811,0.184082708853733,0.2424368581737441,0.02447257957154307
10,6,2016,96,0.7568882248489309,0.23896752706078267,0.3109214543436026,0.03509233286582515
10,6,2017,130,0.7777720505878573,0.10317790729947267,0.20038856508465167,0.02116324420844885
10,6,2018,103,0.7854030200253785,0.22328615043019706,0.28025256730502357,0.028083713316964805
10,6,2019,108,0.8063854713163452,0.19220094365806273,0.2547876769358868,0.0269634164137833
10,6,2020,122,0.8072335126110489,0.18442964196502915,0.25520399666944216,0.023338817707186255
10,6,2021,111,0.8178056263756717,0.1772828198723286,0.23723286150430198,0.026014816098427415
10,6,2022,115,0.8203414838175687,0.16708298640022204,0.22085761865112408,0.024973574312498917
10,6,2023,111,0.8202708940587793,0.15917291146266999,0.22099639189564252,0.024469587894922713
10,6,2024,98,0.8235267585370064,0.16777685262281433,0.2294615598112684,0.028946269040426763
10,7,2016,109,0.772675765723916,0.13197335553705244,0.2345961698584513,0.027749751615462226
10,7,2017,93,0.7871604908293706,0.12753261171246183,0.25284485151262837,0.033340119184217344
10,7,2018,93,0.798021360577132,0.1594504579517069,0.31480710519011934,0.03268694291351977
10,7,2019,105,0.816272091861044,0.16049125728559532,0.21766583402719955,0.027382476886772734
10,7,2020,111,0.8192948958692428,0.1623646960865945,0.2121149042464613,0.025261342363754914
10,7,2021,103,0.8219197019203012,0.15348320843741325,0.26019983347210657,0.02929470735782554
10,7,2022,102,0.8229873265776979,0.1643075215098529,0.21565362198168192,0.02700423838379296
10,7,2023,108,0.8253659598323317,0.10893699694698862,0.2146128226477935,0.025434227849173548
10,7,2024,105,0.8202337159697964,0.14127116291978906,0.24819594782126006,0.026243622100582342
10,8,2016,96,0.7837554531679879,0.12635303913405496,0.22404940327504858,0.032002060637820705
10,8,2017,110,0.7814046206285377,0.11455731334998612,0.22668609492089925,0.025958493787757074
10,8,2018,109,0.7980048957533,0.15396891479322786,0.2155842353594227,0.025034567575266987
10,8,2019,85,0.8178822360643355,0.12538162642242576,0.24764085484318624,0.03512551791372167
10,8,2020,120,0.8181001276417483,0.13592839300582849,0.21697196780460729,0.022875101185657828
10,8,2021,92,0.8267292592295091,0.14529558701082432,0.25825700804884816,0.035153963236155016
10,8,2022,101,0.8271969087834975,0.13266722175964474,0.26186511240632804,0.02857709390862944
10,8,2023,119,0.826949069191647,0.08721898417985012,0.15070774354704414,0.021244730092278664
10,8,2024,102,0.8234587122748375,0.13752428531779073,0.21690258118234804,0.0262530876341618
