k,steps,tau_module,tau_Q,tau_top2,tau_rosenbluth
10,3,-0.22222222222222227,0.8888888888888891,-0.1666666666666667,0
10,4,0.14085904245475278,0.9444444444444446,-0.6111111111111113,-0.38888888888888895
10,5,0.08451542547285167,0.8333333333333335,-0.5000000000000001,-0.1666666666666667
10,6,0.028171808490950558,0.9444444444444446,-0.38888888888888895,-0.11111111111111113
10,7,0.1143323900950059,0.8333333333333335,-0.22222222222222227,-0.5000000000000001
10,8,0.11111111111111113,0.7222222222222223,0,-0.1666666666666667
15,3,0,0.6111111111111113,-0.5000000000000001,-0.3333333333333334
15,4,-0.22222222222222227,0.8333333333333335,-0.27777777777777785,0.055555555555555566
15,5,0.44444444444444453,0.5000000000000001,-0.3333333333333334,-0.44444444444444453
15,6,-0.028171808490950558,0.7222222222222223,0.38888888888888895,0.1666666666666667
15,7,-0.22222222222222227,0.6111111111111113,0.11111111111111113,0.1666666666666667
15,8,-0.08451542547285167,0.8333333333333335,0.1666666666666667,0.1666666666666667
25,3,-0.055555555555555566,0.7222222222222223,-0.22222222222222227,-0.055555555555555566
25,4,0.27777777777777785,0.5555555555555557,-0.5000000000000001,-0.3333333333333334
25,5,0.36623351038235724,0.6111111111111113,-0.6111111111111113,-0.38888888888888895
25,6,0.19720265943665388,0.5000000000000001,-0.22222222222222227,-0.38888888888888895
25,7,0.11785113019775793,0.6666666666666669,-0.5000000000000001,-0.27777777777777785
25,8,-0.14085904245475278,0.6666666666666669,0,0
50,3,0.19720265943665388,0.5555555555555557,-0.5555555555555557,-0.38888888888888895
50,4,0.08451542547285167,0.6111111111111113,-0.27777777777777785,-0.055555555555555566
50,5,0.08703882797784893,0.7222222222222223,-0.44444444444444453,-0.1666666666666667
50,6,-0.47140452079103173,0.5000000000000001,-0.38888888888888895,0.3333333333333334
50,7,0.029012942659282972,0.7222222222222223,-0.3333333333333334,-0.055555555555555566
50,8,0.08703882797784893,0.6666666666666669,-0.44444444444444453,-0.44444444444444453
