jahr,k,moran_I,n
2016,15,0.4250543044432447,16618
2016,50,0.33596533451564553,16618
2016,100,0.2820996241941627,16618
2017,15,0.4434329690036644,18426
2017,50,0.35249831117805597,18426
2017,100,0.29517255724571256,18426
2018,15,0.4827106540842771,20255
2018,50,0.3949886467458212,20255
2018,100,0.3371569455164394,20255
2019,15,0.501781960757151,22409
2019,50,0.4027303699837421,22409
2019,100,0.3433843673473806,22409
2020,15,0.540614221373663,24842
2020,50,0.4421927354376103,24842
2020,100,0.3790592514431027,24842
2021,15,0.5520009476322878,26930
2021,50,0.45759610096078895,26930
2021,100,0.3958755086276636,26930
2022,15,0.5834484947259713,28640
2022,50,0.4853808006159655,28640
2022,100,0.42128504000312805,28640
2023,15,0.5742307707932164,29446
2023,50,0.4835271687929439,29446
2023,100,0.42588284371703466,29446
2024,15,0.6020673516604954,28848
2024,50,0.5057864289095542,28848
2024,100,0.4403046209277209,28848
