jahr,k,moran_I,n
2016,15,0.3789508049619205,15298
2016,50,0.30453427466916144,15298
2016,100,0.25840959672674135,15298
2017,15,0.40867206217835383,16860
2017,50,0.3233383546931096,16860
2017,100,0.270955909007345,16860
2018,15,0.454983672105868,18460
2018,50,0.3713041865527003,18460
2018,100,0.31657645770736664,18460
2019,15,0.4725762835989155,20372
2019,50,0.37305633129419974,20372
2019,100,0.31573335624958754,20372
2020,15,0.5051164323886231,22492
2020,50,0.4030683478424112,22492
2020,100,0.34102730091586364,22492
2021,15,0.5210041971561729,24347
2021,50,0.42771893189669463,24347
2021,100,0.36699734283488333,24347
2022,15,0.5593041235146698,25842
2022,50,0.4579277229058586,25842
2022,100,0.394592966281839,25842
2023,15,0.5472046181702626,26563
2023,50,0.4539041273916393,26563
2023,100,0.3965395111338147,26563
2024,15,0.5761362903085635,25987
2024,50,0.4767136374060515,25987
2024,100,0.4106226801154568,25987
