jahr,tau,n,n_edges,n_iso,mean_deg,moran_I,moran_I_binaer
2016,0.55,15298,1177213,641,153.90417047980128,0.34866711169724396,0.18579843253646378
2016,0.6,15298,708062,1970,92.56922473525951,0.36598717411103693,0.21380425630899613
2016,0.65,15298,408043,3869,53.345927572231666,0.34604403439563164,0.2431729898221333
2016,0.7,15298,211727,6079,27.680350372597726,0.30875086300193444,0.2740223418128669
2017,0.55,16860,1090299,531,129.3355871886121,0.37240255391440386,0.19147545906875602
2017,0.6,16860,614792,1927,72.92906287069988,0.3974810323255786,0.224621976993688
2017,0.65,16860,332820,3889,39.480427046263344,0.38680187101675795,0.25388444707307445
2017,0.7,16860,163327,6278,19.374495848161327,0.3506729018983822,0.27759832634079956
2018,0.55,18460,1098407,468,119.00400866738894,0.3957197321285024,0.24175843717037082
2018,0.6,18460,597785,1695,64.76543878656555,0.4319599319910472,0.2871035110657016
2018,0.65,18460,301906,3574,32.70920910075839,0.4272607255470339,0.3421174453121184
2018,0.7,18460,135161,6034,14.643661971830985,0.3937958395932146,0.40791084666890787
2019,0.55,20372,1395304,345,136.9825250343609,0.4085510742778487,0.18095001379065787
2019,0.6,20372,751726,1243,73.79992146082859,0.44748745130547796,0.21040409783052025
2019,0.65,20372,386319,2893,37.926467700765755,0.45349057183220415,0.24533195729911933
2019,0.7,20372,182127,5106,17.88012958963283,0.4391752171414766,0.2864756136614953
2020,0.55,22492,1641032,257,145.92139427351947,0.41175759291742414,0.26688390233885356
2020,0.6,22492,842549,902,74.91988262493331,0.46632193213355216,0.31472642274924384
2020,0.65,22492,415707,2330,36.96487640049796,0.49159911173062404,0.36987003490099674
2020,0.7,22492,191342,4389,17.014227280810957,0.4895640438629752,0.42997315888821974
2021,0.55,24347,1906187,235,156.584959132542,0.40957080284115166,0.26258981644274115
2021,0.6,24347,956896,823,78.60483837844498,0.4657929592953371,0.31938399309412413
2021,0.65,24347,471529,2125,38.734053476814395,0.5004796694173246,0.39634376617679085
2021,0.7,24347,223736,4228,18.37893785682014,0.5007575791339303,0.4893231028935369
2022,0.55,25842,2327956,275,180.16840801795527,0.43512137486112423,0.23882384078967342
2022,0.6,25842,1168487,821,90.43317080721306,0.49003139282891056,0.2871652301741428
2022,0.65,25842,570899,2009,44.18380930268555,0.5257829886053283,0.3562534573631973
2022,0.7,25842,266889,4071,20.655444625029023,0.5341501223694768,0.45126505091195246
2023,0.55,26563,2855483,343,214.99702593833527,0.41418632645050135,0.3700476155938422
2023,0.6,26563,1496897,939,112.70541730979181,0.4718450136079156,0.4334296906197912
2023,0.65,26563,733122,1975,55.19873508263374,0.5135707906185181,0.4929965158239468
2023,0.7,26563,332975,3735,25.070586906599406,0.5309789929141598,0.5500799010699261
2024,0.55,25987,2759017,450,212.33824604609998,0.43640895871602875,0.2720137281145174
2024,0.6,25987,1517791,1027,116.81155962596684,0.4977411000415044,0.3018174441550804
2024,0.65,25987,790199,1970,60.814945934505715,0.5383951681294122,0.34827130722051863
2024,0.7,25987,377204,3487,29.030207411398006,0.5565607519379538,0.4213910759104022
