raum,jahr,tau,n,n_edges,n_iso,mean_deg,moran_I,E_I,sd_I,z_score,p_analyt
nativ,2016,0.55,14412,827683,649,114.86025534276992,0.35364346886449377,-7.266385699752942e-5,0.0035088220078914904,100.80765907360609,0
nativ,2017,0.55,14412,564556,524,78.34526783236193,0.37790693533559955,-7.200979333189313e-5,0.003470874678234506,108.90019956617796,0
nativ,2018,0.55,14412,509115,438,70.65154038301415,0.4073563484487016,-7.156659271452087e-5,0.0033172142251823434,122.82231034355952,0
nativ,2019,0.55,14412,508248,289,70.53122398001665,0.42193059005969147,-7.08114997875655e-5,0.002943807000117451,143.3522651256153,0
nativ,2020,0.55,14412,545572,192,75.71079655842354,0.42827745853309435,-7.032843378577959e-5,0.0026670210157782787,160.60907823100956,0
nativ,2021,0.55,14412,579438,170,80.4104912572856,0.420756498690218,-7.021978793624044e-5,0.002473278904565453,170.1493178554774,0
nativ,2022,0.55,14412,623104,181,86.47016375242853,0.4346824444406092,-7.02740688685875e-5,0.002364217633907264,183.88862018213462,0
nativ,2023,0.55,14412,673410,183,93.45129059117401,0.40803017095734545,-7.028394714647174e-5,0.002242899655127856,181.95216802118964,0
nativ,2024,0.55,14412,653445,273,90.68068276436303,0.4152226797860085,-7.073136228603763e-5,0.0022002781122709976,188.74587209325693,0
nativ,2016,0.6,14412,490308,1959,68.04163197335554,0.3707012064469539,-8.030838419531e-5,0.005032986477561819,73.67027836934915,0
nativ,2017,0.6,14412,314764,1825,43.68082153760755,0.3964953443768898,-7.94533608771651e-5,0.004951657578774219,80.08930169923805,0
nativ,2018,0.6,14412,283124,1452,39.290036081043574,0.43967730317369025,-7.716644802839726e-5,0.004715394144627559,93.25932385159125,0
nativ,2019,0.6,14412,280719,974,38.956286427976686,0.4600406864213537,-7.442137381856069e-5,0.004191367004965015,109.77685973338258,0
nativ,2020,0.6,14412,301871,645,41.89161809603109,0.4786927168710516,-7.26427429899753e-5,0.0038166631864484774,125.44081995863708,0
nativ,2021,0.6,14412,318917,561,44.2571468220927,0.47418965690450404,-7.220216606498195e-5,0.0035870291235779077,132.21578156508335,0
nativ,2022,0.6,14412,346182,502,48.04079933388843,0.4905216109867422,-7.189589474441009e-5,0.0034020041048279043,144.2072060363678,0
nativ,2023,0.6,14412,375221,524,52.0706355814599,0.4655237248343273,-7.200979333189313e-5,0.0031875905111556873,146.0651024647622,0
nativ,2024,0.6,14412,364714,573,50.61254510130447,0.4747607163992486,-7.226477814713109e-5,0.0031059360685951128,152.87918704397987,0
nativ,2016,0.65,14412,277806,3815,38.55203996669442,0.34757276379053564,-9.437523593808984e-5,0.0067297831020297575,51.66097239027131,0
nativ,2017,0.65,14412,160640,3564,22.292533999444906,0.38084817269193083,-9.219138932423711e-5,0.006685855752951558,56.9770539714507,0
nativ,2018,0.65,14412,144250,2966,20.0180405217874,0.42982167581593855,-8.737439930100481e-5,0.006273010372972564,68.53313236456843,0
