raum,jahr,tau,n,n_edges,n_iso,mean_deg,moran_I,E_I,sd_I,z_score,p_analyt
nativ,2016,0.55,16618,1392918,624,167.6396678300638,0.39043843441618276,-6.252735571812669e-5,0.0030506652335905845,128.0051830899477,0
nativ,2017,0.55,18426,1274547,534,138.34223380006512,0.3992330562203817,-5.589402492873512e-5,0.0027370433917175067,145.88331023672768,0
nativ,2018,0.55,20255,1268178,463,125.22122932609233,0.41715527878206116,-5.052801778586226e-5,0.002463906208307567,169.32698387347367,0
nativ,2019,0.55,22409,1617447,353,144.35691017002097,0.42882846791681417,-4.534119247336205e-5,0.0020194568922930105,212.37086602146724,0
nativ,2020,0.55,24842,1875175,251,150.96811850897674,0.4404610017335394,-4.0666937779585194e-5,0.001700424220091109,259.05398398037215,0
nativ,2021,0.55,26930,2202602,234,163.5797994801337,0.43184930330267735,-3.7460198539052254e-5,0.001510111529167356,285.99660035663044,0
nativ,2022,0.55,28640,2685151,300,187.51054469273743,0.4541276546703297,-3.528706023501182e-5,0.0013846156091253934,328.006515842647,0
nativ,2023,0.55,29446,3333014,389,226.38144399918494,0.43649842239230124,-3.441629955947137e-5,0.001296553224944649,336.68717202912876,0
nativ,2024,0.55,28848,3245698,537,225.02066001109262,0.4574675752457693,-3.532320734722713e-5,0.001302125024961292,351.3509760452662,0
nativ,2016,0.6,16618,833779,1944,100.3464917559273,0.42206770177370473,-6.815238874122537e-5,0.0044343996386690294,95.19571724688952,0
nativ,2017,0.6,18426,707142,1926,76.75480299576685,0.43010027079091223,-6.0609733923268075e-5,0.0040249206065326795,106.87437655954243,0
nativ,2018,0.6,20255,681530,1708,67.29498889163169,0.45835824896386984,-5.391998274560552e-5,0.0035933431696331857,127.57261060412745,0
nativ,2019,0.6,22409,858370,1257,76.60939800972824,0.47100520670615936,-4.727908845917451e-5,0.002965186102097354,158.8610190306203,0
nativ,2020,0.6,24842,954780,906,76.86820706867402,0.49590748087387965,-4.177982034677251e-5,0.0025227869634276306,196.58784823447633,0
nativ,2021,0.6,26930,1097486,860,81.50657259561827,0.48972063405566013,-3.8359737619394685e-5,0.002261268636780886,216.58594022269477,0
nativ,2022,0.6,28640,1341751,904,93.69769553072625,0.509617396746305,-3.6055525509284295e-5,0.002055317551143335,247.96822855344354,0
nativ,2023,0.6,29446,1737255,1051,117.99599266453848,0.4929744224419056,-3.521870817778404e-5,0.0018939901142089577,260.3021195577852,0
nativ,2024,0.6,28848,1787587,1202,123.93143372157515,0.5180506026620092,-3.617290649303671e-5,0.0018566905839857244,279.03775676846203,0
nativ,2016,0.65,16618,482540,3929,58.0743771813696,0.40716459877560257,-7.881462799495586e-5,0.005957825090228332,68.35437550382838,0
nativ,2017,0.65,18426,380837,3982,41.336915228481494,0.42206068996892043,-6.923769300006924e-5,0.005497685475255197,76.78320805399034,0
nativ,2018,0.65,20255,345182,3663,34.083633670698596,0.4611468849264394,-6.027364233620638e-5,0.004858183933353977,94.93406690560786,0
nativ,2019,0.65,22409,437676,2953,39.062519523405776,0.483979174047012,-5.1400668208686716e-5,0.004034940362517873,119.95978409286258,0
nativ,2020,0.65,24842,469991,2385,37.83841880685935,0.522374821040101,-4.453152832205201e-5,0.003463134035722856,150.8516122043134,0
nativ,2021,0.65,26930,541183,2204,40.191830672112886,0.5257608463146889,-4.044489383215369e-5,0.0031471117976117255,167.07423346305657,0
nativ,2022,0.65,28640,654937,2199,45.73582402234637,0.5459603945603705,-3.7821482602118e-5,0.0028558695438563593,191.18457886759637,0
nativ,2023,0.65,29446,848115,2232,57.604768049989815,0.5323842937773058,-3.674714290963877e-5,0.002636128780212704,201.97080086400615,0
nativ,2024,0.65,28848,933756,2261,64.73627287853577,0.5555111616633749,-3.761378168961107e-5,0.00256464337471753,216.61833412072457,0
nativ,2016,0.7,16618,254185,6314,30.591527259598028,0.3648031454532467,-9.705910899737941e-5,0.007840249124048711,46.54191452194689,0
nativ,2017,0.7,18426,189994,6589,20.622381417562142,0.3853887694758795,-8.448800270361608e-5,0.007250664965174282,53.16384901661466,0
nativ,2018,0.7,20255,157538,6321,15.555467785731919,0.428877774768481,-7.177205196296562e-5,0.006430039517879587,66.71025047788466,0
nativ,2019,0.7,22409,207050,5325,18.479182471328485,0.4715464321402754,-5.853772756541591e-5,0.005309292221171502,88.82633507857298,0
nativ,2020,0.7,24842,216880,4566,17.460751952338782,0.5222587774720895,-4.932182490752158e-5,0.004556052496460221,114.64049189573628,0
nativ,2021,0.7,26930,258061,4505,19.16531748978834,0.5261444032317089,-4.459507670353193e-5,0.004195488650183892,125.417809981526,0
nativ,2022,0.7,28640,305494,4415,21.333379888268155,0.5523052625135189,-4.128137384412153e-5,0.0038660108845625764,142.87247511199357,0
nativ,2023,0.7,29446,384242,4150,26.09807783739727,0.5486224683075083,-3.953350464518679e-5,0.0035748328428152737,153.47906487847635,0
nativ,2024,0.7,28848,445802,3908,30.90696062118691,0.5709133177742926,-4.009783872649264e-5,0.0034715899331628076,164.46453256443493,0
aligned,2016,0.55,16618,1392918,624,167.6396678300638,0.39043843441618276,-6.252735571812669e-5,0.0030506652335905845,128.0051830899477,0
aligned,2017,0.55,18426,1274548,534,138.34234234234233,0.3992332355705123,-5.589402492873512e-5,0.002737043377200937,145.88337653741456,0
aligned,2018,0.55,20255,1268176,463,125.22103184398914,0.4171553219600876,-5.052801778586226e-5,0.002463906320624449,169.3269936789388,0
aligned,2019,0.55,22409,1617447,353,144.35691017002097,0.42882846791681417,-4.534119247336205e-5,0.0020194568922930105,212.37086602146724,0
aligned,2020,0.55,24842,1875175,251,150.96811850897674,0.44046106785383765,-4.0666937779585194e-5,0.0017004240875879862,259.0540430513774,0
aligned,2021,0.55,26930,2202602,234,163.5797994801337,0.43184930330267735,-3.7460198539052254e-5,0.001510111529167356,285.99660035663044,0
aligned,2022,0.55,28640,2685152,300,187.51061452513966,0.4541275907659082,-3.528706023501182e-5,0.0013846159456872577,328.0063899601548,0
aligned,2023,0.55,29446,3333013,389,226.38137607824493,0.4364984038800787,-3.441629955947137e-5,0.0012965532274938816,336.6871570891201,0
aligned,2024,0.55,28848,3245702,537,225.02093732667777,0.45746703445611786,-3.532320734722713e-5,0.001302124897886936,351.3505950204096,0
aligned,2016,0.6,16618,833779,1944,100.3464917559273,0.42206770177370473,-6.815238874122537e-5,0.0044343996386690294,95.19571724688952,0
aligned,2017,0.6,18426,707141,1926,76.75469445348963,0.43010029607076056,-6.0609733923268075e-5,0.0040249206216201585,106.87438243975365,0
aligned,2018,0.6,20255,681530,1708,67.29498889163169,0.45835824896386984,-5.391998274560552e-5,0.0035933431696331857,127.57261060412745,0
aligned,2019,0.6,22409,858370,1257,76.60939800972824,0.47100520670615936,-4.727908845917451e-5,0.002965186102097354,158.8610190306203,0
aligned,2020,0.6,24842,954780,906,76.86820706867402,0.49590748087387965,-4.177982034677251e-5,0.0025227869634276306,196.58784823447633,0
aligned,2021,0.6,26930,1097486,860,81.50657259561827,0.48972063405566013,-3.8359737619394685e-5,0.002261268636780886,216.58594022269477,0
aligned,2022,0.6,28640,1341750,904,93.69762569832402,0.5096173935362648,-3.6055525509284295e-5,0.0020553175574935263,247.96822622548896,0
aligned,2023,0.6,29446,1737254,1051,117.99592474359845,0.4929741418521508,-3.521870817778404e-5,0.0018939909702098928,260.30185376527595,0
