mass,tau,p,start,ende,n_jahre
eta2_fixed_voll,0.667,0.0127,0.1568537116577125,0.2189550459336948,9
eta2_fixed_schnitt,0.722,0.00589,0.156853711657715,0.24782038532842424,9
eta2_native,0.944,4.96e-5,0.156853711657715,0.34712844165339185,9
omega2_native,0.944,4.96e-5,0.14953471564585352,0.33219891483763786,9
benchmark_native,0.944,4.96e-5,0.008592321755027423,0.022318298667913065,9
eta2_native_lifestyle,1,5.51e-6,0.156853711657715,0.3513169673356023,9
omega2_native_lifestyle,1,5.51e-6,0.14953471564585352,0.3445601780242097,9
benchmark_native_lifestyle,0.778,0.00243,0.008592321755027423,0.01029115167813001,9
between_gew,0.722,0.00589,0.13609397619526623,0.2153626719289118,9
within_gew,0.167,0.612,0.7315550883818708,0.7682304259626488,9
between_ungew,0.444,0.119,0.24687939505267198,0.33294610164239186,9
within_ungew,-0.111,0.761,0.6927461857701471,0.7303536976727445,9
moran_spdep_k50,0.944,4.96e-5,0.3359653345156491,0.5057864289095618,9
moran_k15,0.944,4.96e-5,0.4250543044432447,0.6020673516604954,9
moran_k50,0.944,4.96e-5,0.33596533451564553,0.5057864289095542,9
moran_k100,1,5.51e-6,0.2820996241941627,0.4403046209277209,9
moran_panel_k50,0.722,0.00589,0.3006515856906,0.4053752225211843,9
rel_nachbar_sd,-0.722,0.00589,0.7453941899382491,0.7121672277340716,9
moran_threshold_tau055,0.444,0.119,0.35364346886449377,0.4152226797860085,9
moran_threshold_tau060,0.667,0.0127,0.3707012064469539,0.4747607163992486,9
moran_threshold_tau065,0.833,8.54e-4,0.34757276379053564,0.5171957406378528,9
moran_threshold_tau070,0.944,4.96e-5,0.30752907720531913,0.5206718246799781,9
moran_lifestyle_k50,0.944,4.96e-5,0.30453427466916144,0.47671363740605155,9
moran_altbestand,0.944,4.96e-5,0.30453427466916144,0.4425325606138494,9
moran_zustromgruppe,0.857,0.00174,0.3237438932823217,0.5213771942548007,8
kohorte_moran_absolut,0.643,0.0312,0.3237438932823217,0.46120417688243215,8
kohorte_relativ_feld,0.071,0.905,1.0012542235813533,0.9674658761431469,8
between_gew_null_perm,0.5,0.0752,0.007484520772475746,0.008833697088919915,9
ns_ueberschuss_rho,0.056,0.919,-0.131687890631829,-0.04823195575619449,9
ns_ueberschuss_verh,0.389,0.18,-0.047695190282756705,0.045347145315640214,9
