Cluster,n 2016,n 2024,z 2016,z 2024,Beitrag,Kennzeichnende Wörter 2016
26,218,216,"0,52","1,08","0,0210","anime, manga, episode, series, show, episodes, arc, mal"
17,95,95,"0,83","1,28","0,0102","london, pay, year, any, work, tax, money, years"
3,1662,1438,"0,00","−0,29","0,0087","sex, girl, sexy, looking, kik, cock, hot, cum"
88,154,151,"0,02","0,72","0,0082","nintendo, mario, game, wii, games, smash, raving, fnaf"
8,62,62,"0,72","1,11","0,0050","austin, imagesofnetwork, houston, texas, romo, year, dak, crossposting"
87,66,66,"0,79","0,99","0,0032","game, characters, sfv, character, games, play, story, capcom"
14,85,85,"−0,28","−0,74","0,0032","cricket, india, bowling, kohli, dubai, pakistan, batting, test"
73,69,69,"0,44","0,77","0,0032","engineering, printer, arduino, print, voltage, work, design, printing"
63,320,307,"0,13","0,31","0,0031","irl, guy, someone, right, actually, fucking, thing, something"
42,38,38,"0,78","1,13","0,0030","aircraft, flight, flying, pilot, plane, fly, pilots, air"
36,183,183,"−0,23","−0,52","0,0029","ronald, mcdonald, episode, show, season, rick, ford, scene"
4,74,74,"0,17","0,62","0,0029","sydney, melbourne, imagesofnetwork, afl, australia, brisbane, year, nrl"
53,56,53,"−0,25","0,75","0,0027","video, channel, videos, youtube, feedback, audio, views, content"
71,58,54,"−0,44","−0,89","0,0025","keys, holo, game, sticker, katowice, steam, awp, games"
28,72,70,"0,39","0,63","0,0022","game, games, cards, play, board, dice, played, rules"
31,34,34,"0,32","0,73","0,0016","wars, star, luke, jedi, vader, rey, force, anakin"
18,44,41,"0,19","0,62","0,0016","beer, bottle, yeast, beers, bottles, wine, bourbon, cigars"
55,69,69,"−0,30","−0,61","0,0014","tank, fish, water, plants, betta, gallon, shrimp, filter"
77,31,30,"0,30","0,72","0,0014","halo, cod, map, game, maps, zombies, play, weapons"
90,46,46,"−1,04","−1,24","0,0014","school, college, schools, math, classes, gpa, class, students"
86,120,120,"0,11","−0,39","0,0014","game, games, play, gta, sony, psvr, played, story"
89,88,85,"0,53","0,60","0,0014","damage, game, level, dps, pvp, units, gear, skill"
91,39,39,"0,07","0,56","0,0013","deck, clan, elixir, level, tower, zap, hog, arena"
7,60,59,"1,65","1,62","0,0013","gun, barrel, rifle, glock, ammo, trigger, mags, rounds"
6,154,153,"−0,04","−0,33","0,0012","vancouver, year, city, pay, canada, years, any, tax"
79,98,96,"−0,04","0,32","0,0011","skin, makeup, hair, products, face, palette, foundation, lip"
41,30,23,"−0,79","−1,18","0,0010","search, restrict, legacy, author, feature, sort, com, self"
76,61,61,"0,06","−0,45","0,0010","yarn, pattern, stitch, knitting, knit, fabric, stitches, crochet"
5,65,64,"0,53","0,59","0,0009","japanese, japan, tokyo, song, kpop, babymetal, kanji, korean"
67,31,30,"−0,53","−0,84","0,0009","cat, dog, cats, dogs, animals, cute, animal, baby"
84,124,123,"0,33","−0,43","0,0009","game, war, civ, server, play, map, base, any"
49,52,52,"−0,33","−0,59","0,0009","mobile, phone, sprint, roku, service, data, lte, app"
15,240,238,"−0,02","0,16","0,0008","english, language, china, chinese, trip, travel, country, spanish"
13,46,46,"0,46","0,54","0,0007","god, church, jesus, christian, bible, faith, believe, christ"
52,103,95,"0,18","0,28","0,0007","server, network, router, plex, windows, file, work, data"
43,54,54,"−0,07","−0,40","0,0006","bike, running, race, run, ride, miles, bikes, marathon"
19,102,101,"−0,18","−0,36","0,0006","art, drawing, draw, painting, scp, artist, work, paint"
70,110,108,"0,11","0,22","0,0006","business, job, company, work, marketing, product, sales, site"
25,37,37,"0,04","0,37","0,0006","camera, film, video, render, footage, premiere, work, blender"
56,77,77,"−0,74","−0,85","0,0005","san, year, team, game, season, giants, lakers, dodgers"
46,91,89,"0,12","0,22","0,0005","cpu, motherboard, card, gaming, build, monitor, gpu, atx"
64,62,62,"0,05","−0,31","0,0005","remember, house, happened, police, evidence, case, something, believe"
51,88,85,"0,08","−0,27","0,0005","phone, android, app, google, battery, nexus, apps, device"
9,31,31,"0,50","0,54","0,0004","bjj, belt, training, judo, guard, martial, sparring, gym"
68,48,48,"−0,52","−0,66","0,0004","cat, cats, kitty, kitten, vet, litter, food, kittens"
40,53,53,"−0,21","−0,38","0,0003","apple, iphone, ios, app, phone, jailbreak, tweak, ipad"
35,64,63,"−0,41","−0,53","0,0003","film, movie, movies, films, horror, imdb, movieguide, director"
85,36,35,"−0,11","−0,37","0,0003","fallout, skyrim, esp, game, armor, bethesda, quest, settlement"
83,50,49,"−0,28","0,37","0,0003","pokemon, added, ign, shiny, trade, deposited, female, add"
