kennzahl,wert
between_2016,0.13609397619526867
between_2024,0.2153626719289089
anstieg,0.07926869573364023
anteil_position_pz,95.17401917194297
anteil_anteil_pz,4.825980828057023
top5_netto_pz,67.1599898249874
top10_netto_pz,87.02375512604824
top20_netto_pz,113.06225049738025
top5_betrag_pz,37.66228365329571
top10_betrag_pz,52.38242717965314
top20_betrag_pz,68.92764910284882
gleichverteilung_top10_pz,10.526315789473685
n_cluster,95
n_cluster_rueckgang,34
n_cluster_treiber_anteil,1
decke_pct16_gegen_dpct,-0.13575027995520716
decke_ext16_gegen_dext,-0.2476343784994401
decke_abstand16_gegen_pos,-0.2449468085106383
mean_d_pct_gew,2.0434090643984388e-4
mean_d_ext_gew,-0.0031954430921798667
