cluster,n_subs,d_beitrag,woerter_2016,label
26,218,0.021,"anime, manga, episode, series, show, episodes, arc, mal, character, characters",
17,95,0.0102,"london, pay, year, any, work, tax, money, years, british, though",
3,1662,0.0087,"sex, girl, sexy, looking, kik, cock, hot, cum, body, women",
88,154,0.0082,"nintendo, mario, game, wii, games, smash, raving, fnaf, keemstar, zelda",
60,52,-0.0075,"questions, flair, askscience, physics, question, science, contain, math, energy, mathematics",
92,1150,-0.0071,"game, hero, dota, bible, games, team, true, play, right, heroes",
8,62,0.005,"austin, imagesofnetwork, houston, texas, romo, year, dak, crossposting, team, game",
87,66,0.0032,"game, characters, sfv, character, games, play, story, capcom, final, fantasy",
14,85,0.0032,"cricket, india, bowling, kohli, dubai, pakistan, batting, test, wickets, innings",
73,69,0.0032,"engineering, printer, arduino, print, voltage, work, design, printing, power, filament",
63,320,0.0031,"irl, guy, someone, right, actually, fucking, thing, something, never, man",
42,38,0.003,"aircraft, flight, flying, pilot, plane, fly, pilots, air, airport, aviation",
36,183,0.0029,"ronald, mcdonald, episode, show, season, rick, ford, scene, episodes, character",
4,74,0.0029,"sydney, melbourne, imagesofnetwork, afl, australia, brisbane, year, nrl, adelaide, last",
53,56,0.0027,"video, channel, videos, youtube, feedback, audio, views, content, commentary, editing",
