linie,cl_2016,cl_2024,n_c_2016,n_c_2024,mean_z_2016,mean_z_2024,d_z,woerter_2016,woerter_2024
0,0,6,30,48,0.33660288343544076,0.08408295019452262,-0.25251993324091815,"deck, card, jpg, cardname, cards, type","txt, cardname, deck, cards, decks, mana"
1,1,0,139,185,0.27255312932108505,0.24673907225872882,-0.025814057062356233,"lane, team, riot, play, game, adc","adc, riot, game, lane, jinx, champ"
2,2,48,72,322,0.4833657693110138,-0.7855654223364528,-1.2689311916474666,"bitcoin, btc, ethereum, eth, blockchain, wallet","tip, donut, bitcoin, crypto, tipped, btc"
3,3,10,1662,62,0.0028231937715489978,-2.229207447508076,-2.232030641279625,"sex, girl, sexy, looking, kik, cock","kinks, hai, wanna, sex, looking, chat"
4,4,4,74,113,0.1732751539866402,0.6425754103326161,0.46930025634597594,"sydney, melbourne, imagesofnetwork, afl, australia, brisbane","australia, sydney, year, melbourne, brisbane, work"
5,5,72,65,105,0.5299138752660325,0.8974094410690022,0.3674955658029697,"japanese, japan, tokyo, song, kpop, babymetal","kpop, hybe, song, bts, group, songs"
6,6,40,154,163,-0.04044531134158778,-0.200250930986412,-0.15980561964482423,"vancouver, year, city, pay, canada, years","canada, pay, canadian, tax, toronto, year"
7,7,18,60,111,1.6474866896563862,1.5472167064645743,-0.1002699831918119,"gun, barrel, rifle, glock, ammo, trigger","transaction, confirm, reply, barrel, gun, trade"
8,8,101,62,75,0.7239599647329941,-1.1079303967779064,-1.8318903615109003,"austin, imagesofnetwork, houston, texas, romo, year","san, area, bay, city, parking, beach"
10,10,17,55,69,-0.547007185977861,-0.5322776501312663,0.014729535846594755,"bike, bikes, ride, riding, motorcycle, road","bike, bikes, riding, ride, motorcycle, engine"
11,11,75,40,113,0.5912098408912205,-0.16716605779988386,-0.7583758986911044,"race, car, racing, cars, driver, drivers","race, car, cars, racing, races, max"
12,12,31,281,348,0.31425255004874447,0.12620210545332863,-0.18805044459541584,"car, cars, engine, miles, drive, tires","car, engine, miles, cars, oil, drive"
13,13,41,46,58,0.46289756965714585,0.826730358875682,0.3638327892185362,"god, church, jesus, christian, bible, faith","god, jesus, church, bible, sin, christian"
14,14,45,85,244,-0.2763461305029271,-0.6372634099388059,-0.3609172794358788,"cricket, india, bowling, kohli, dubai, pakistan","hai, emote, bhai, img, bhi, toh"
16,16,173,38,77,-0.190874122743187,0.17909979818177868,0.36997392092496567,"minecraft, server, blocks, block, jar, java","minecraft, server, java, purpose, bedrock, rules"
17,17,20,95,133,0.8260080103788018,1.4475757506498925,0.6215677402710907,"london, pay, year, any, work, tax","car, pay, london, work, year, years"
18,18,117,44,40,0.1924858725599249,0.5256356387909293,0.33314976623100445,"beer, bottle, yeast, beers, bottles, wine","bottle, wine, bottles, bourbon, beer, whiskey"
19,19,120,102,93,-0.17520767467072892,-0.32750207630402745,-0.15229440163329852,"art, drawing, draw, painting, scp, artist","art, drawing, painting, draw, artist, paint"
20,20,82,51,58,0.7141300986675615,0.5823915407837756,-0.13173855788378586,"size, supreme, shoes, pair, tee, hoodie","batch, yvl, size, shipping, pandabuy, link"
21,21,50,52,1106,0.060983904097606706,-0.22732007204119264,-0.2883039761387993,"album, kanye, song, music, songs, drake","song, album, music, songs, band, guitar"
22,22,50,660,1106,-0.2821575111460719,-0.22732007204119264,0.05483743910487926,"song, music, album, songs, guitar, band","song, album, music, songs, band, guitar"
23,23,147,170,156,-0.16848944301384142,0.5020308321627701,0.6705202751766115,"weed, drugs, lsd, dose, drug, trip","sober, drinking, dose, alcohol, weed, drink"
24,24,91,67,91,-0.5372278965380985,0.17562779581066976,0.7128556923487683,"unpaid, original, paypal, borrower, date, lender","usd, boost, loan, referral, borrower, lender"
26,26,181,218,388,0.5164653981510763,1.2830117920967217,0.7665463939456454,"anime, manga, episode, series, show, episodes","anime, manga, sukuna, gojo, luffy, naruto"
28,28,66,72,148,0.38857074969586225,1.2044091802122303,0.8158384305163681,"game, games, cards, play, board, dice","army, chaos, paint, models, points, marines"
29,29,67,71,115,-0.8416712173765531,-0.9053473353163953,-0.06367611793984218,"character, spell, players, party, level, spells","players, spell, campaign, character, spells, party"
30,30,136,39,53,-0.5184858005579116,1.0318047747312287,1.5502905752891403,"opie, show, spaceedge, howard, podcast, funny","trump, joe, rogan, comedy, funny, tony"
31,31,116,34,129,0.3239845796341033,0.2511024547265845,-0.07288212490751883,"wars, star, luke, jedi, vader, rey","jedi, wars, godzilla, lego, star, sith"
33,33,121,65,66,-0.5101669117494197,-0.980609299730484,-0.4704423879810643,"book, books, read, writing, story, reading","book, books, read, writing, story, reading"
34,34,101,30,75,-1.1207357319740403,-1.1079303967779064,0.012805335196133916,"nyc, manhattan, brooklyn, city, park, apartment","san, area, bay, city, parking, beach"
35,35,135,64,40,-0.40750459199875944,-0.8429254204160598,-0.43542082841730034,"film, movie, movies, films, horror, imdb","movie, horror, movies, film, films, halloween"
36,36,148,183,310,-0.22893284880723114,-0.7324909081618034,-0.5035580593545723,"ronald, mcdonald, episode, show, season, rick","show, season, episode, character, episodes, scene"
37,37,149,87,114,-0.08011507553836454,-0.30085852318760664,-0.22074344764924209,"batman, movie, superman, marvel, comics, flash","batman, superman, marvel, comics, spider, movie"
38,38,36,32,37,1.1305168214326085,0.7381118188708352,-0.39240500256177324,"army, military, navy, recruiter, duty, school","army, military, claim, recruiter, navy, duty"
39,39,112,45,75,-0.2313913016114411,-0.237703191102301,-0.0063118894908598955,"lens, camera, lenses, photography, photos, nikon","lens, camera, lenses, photography, film, photos"
40,40,150,53,90,-0.2082712168224375,-0.3685018934371344,-0.16023067661469692,"apple, iphone, ios, app, phone, jailbreak","apple, iphone, pro, ipad, ios, macbook"
42,42,193,38,45,0.7825535878824421,0.1746231430642149,-0.6079304448182272,"aircraft, flight, flying, pilot, plane, fly","tanks, tier, tank, game, gaijin, planes"
43,43,118,54,45,-0.0661065868075792,0.26244468605707877,0.32855127286465796,"bike, running, race, run, ride, miles","running, marathon, garmin, run, training, race"
44,44,82,45,58,0.6256460173343817,0.5823915407837756,-0.0432544765506061,"wear, watch, pair, leather, fit, shoes","batch, yvl, size, shipping, pandabuy, link"
45,45,101,33,75,-0.7595059501450853,-1.1079303967779064,-0.3484244466328211,"seattle, mariners, seahawks, year, game, team","san, area, bay, city, parking, beach"
46,46,130,91,123,0.12495050795434536,0.23651866128708698,0.11156815333274163,"cpu, motherboard, card, gaming, build, monitor","cpu, gpu, motherboard, gaming, ram, monitor"
48,48,160,98,111,0.005758505866074109,0.14181174566496318,0.1360532397988891,"code, python, java, function, data, programming","code, python, data, project, programming, app"
49,49,152,52,37,-0.3283214418396134,-0.8140069390238746,-0.48568549718426113,"mobile, phone, sprint, roku, service, data","mobile, phone, verizon, service, xfinity, plan"
50,50,123,80,46,0.025314794685664777,-0.02203581881731479,-0.04735061350297957,"windows, linux, ubuntu, install, microsoft, surface","linux, windows, ubuntu, install, arch, fedora"
51,51,163,88,134,0.07648337094511311,-0.2111668244136003,-0.2876501953587134,"phone, android, app, google, battery, nexus","phone, samsung, pixel, battery, screen, android"
52,52,161,103,70,0.18246189443827937,0.5079212127467551,0.3254593183084757,"server, network, router, plex, windows, file","security, network, server, windows, job, user"
54,54,87,50,47,-0.32150596245666996,1.1245707629740815,1.4460767254307516,"plant, plants, soil, leaves, grow, water","plant, plants, soil, leaves, pot, roots"
55,55,92,69,174,-0.3007337620219753,-0.6371365221738221,-0.3364027601518468,"tank, fish, water, plants, betta, gallon","tank, fish, water, species, plants, snake"
56,56,101,77,75,-0.7436547036207917,-1.1079303967779064,-0.3642756931571147,"san, year, team, game, season, giants","san, area, bay, city, parking, beach"
57,57,133,92,75,0.411960726956302,-0.2491389583607116,-0.6610996853170136,"weight, calories, eat, fat, lbs, gym","weight, calories, eating, eat, fat, protein"
58,58,141,148,156,-0.20746066264750207,0.1433272745527171,0.35078793720021917,"vegan, meat, recipe, food, cheese, sauce","sauce, recipe, cheese, cook, chicken, pan"
59,59,177,73,137,0.3309901130148717,-0.018289202624763426,-0.3492793156396351,"games, emunand, game, homebrew, snes, cfw","games, steam, deck, game, screen, controller"
61,61,106,72,84,-0.29108749128771794,-0.29262823364682505,-0.0015407423591071168,"climbing, trail, hike, ski, hiking, tent","ski, climbing, trail, hike, skis, hiking"
63,63,197,320,715,0.12912685588406958,0.5021777869230593,0.3730509310389897,"irl, guy, someone, right, actually, fucking","guy, right, fucking, man, video, someone"
64,64,119,62,81,0.04635102605969994,-0.485414747400131,-0.531765773459831,"remember, house, happened, police, evidence, case","evidence, case, murder, crime, police, dna"
65,65,145,85,97,-0.26156841015749105,-0.33991728747604927,-0.07834887731855822,"meditation, dream, zen, mind, lucid, life","meditation, spiritual, tarot, energy, life, dream"
66,66,95,91,142,-0.05357487430352488,-0.7327655853588251,-0.6791907110553002,"dog, dogs, puppy, breed, vet, leash","cat, cats, vet, kitten, kitty, litter"
67,67,95,31,142,-0.5323189239775633,-0.7327655853588251,-0.20044666138126177,"cat, dog, cats, dogs, animals, cute","cat, cats, vet, kitten, kitty, litter"
68,68,95,48,142,-0.524729395439199,-0.7327655853588251,-0.20803618991962602,"cat, cats, kitty, kitten, vet, litter","cat, cats, vet, kitten, kitty, litter"
69,69,20,51,133,0.608069893588879,1.4475757506498925,0.8395058570610135,"credit, money, pay, debt, tax, income","car, pay, london, work, year, years"
70,70,155,110,137,0.1102546980796112,0.20989697543188576,0.09964227735227456,"business, job, company, work, marketing, product","job, business, company, work, jobs, marketing"
72,72,159,76,55,-0.2652011741726577,-0.015670450461974447,0.24953072371068324,"baby, husband, weeks, pregnant, pregnancy, kids","baby, sleep, kids, months, son, child"
73,73,100,69,74,0.44302262036624673,0.712403152417061,0.26938053205081425,"engineering, printer, arduino, print, voltage, work","engineering, voltage, power, radio, design, antenna"
74,74,104,69,95,0.2448454362053762,0.3044752362481132,0.05962980004273699,"house, water, property, home, wall, wire","water, house, wall, wire, work, wood"
75,75,167,191,155,-0.35710615381696703,-0.2676991218533706,0.08940703196359645,"feel, life, relationship, friends, anxiety, day","relationship, feel, life, dating, friends, someone"
76,76,139,61,98,0.05881994968795555,-0.29749967211844974,-0.3563196218064053,"yarn, pattern, stitch, knitting, knit, fabric","yarn, pattern, pen, stitch, pens, crochet"
77,77,184,31,95,0.2997231178791986,-0.11169975697316237,-0.41142287485236095,"halo, cod, map, game, maps, zombies","game, remake, games, mgs, story, played"
78,78,191,40,138,0.5957438306849654,0.2709668369231085,-0.32477699376185687,"legion, raid, dps, guild, mythic, blizzard","game, poe, gear, damage, pvp, build"
80,80,97,78,112,0.448031779141849,0.12894022925957013,-0.31909154988227884,"players, league, team, season, club, player","players, team, season, league, club, player"
81,81,99,40,74,0.16263786896059304,-0.6088244072823371,-0.7714622762429302,"school, patient, mcat, patients, medical, med","patient, patients, nurse, nursing, school, hospital"
83,83,114,50,101,-0.28426566105124684,0.4974032504209082,0.7816689114721551,"pokemon, added, ign, shiny, trade, deposited","pokemon, shiny, mon, pok, gen, mons"
84,84,194,124,172,0.33363011943951815,-0.4552588435503386,-0.7888889629898568,"game, war, civ, server, play, map","game, ship, ships, build, base, war"
86,86,184,120,95,0.10584677754901241,-0.11169975697316237,-0.21754653452217476,"game, games, play, gta, sony, psvr","game, remake, games, mgs, story, played"
87,87,186,66,151,0.7929109299385683,0.9463621905266555,0.15345126058808722,"game, characters, sfv, character, games, play","game, story, characters, games, persona, character"
88,88,176,154,65,0.024604483208929898,1.2410320935272097,1.2164276103182798,"nintendo, mario, game, wii, games, smash","mario, nintendo, game, switch, games, pikmin"
89,89,191,88,138,0.5315814565863377,0.2709668369231085,-0.2606146196632292,"damage, game, level, dps, pvp, units","game, poe, gear, damage, pvp, build"
91,91,191,39,138,0.06548324705294914,0.2709668369231085,0.20548358987015938,"deck, clan, elixir, level, tower, zap","game, poe, gear, damage, pvp, build"
92,92,184,1150,95,0.30527316046840347,-0.11169975697316237,-0.41697291744156584,"game, hero, dota, bible, games, team","game, remake, games, mgs, story, played"
93,93,101,30,75,-0.018800868150960236,-1.1079303967779064,-1.0891295286269462,"steelers, game, year, team, orioles, season","san, area, bay, city, parking, beach"
94,94,109,282,614,0.02324468202699074,-0.18966962553360367,-0.2129143075605944,"team, year, game, season, teams, league","team, game, season, year, teams, league"
