linie,cl_2016,cl_2024,d_pct,woerter_2016,woerter_2024,label
54,54,87,0.446,"plant, plants, soil, leaves, grow, water, tree, garden, growing, pot","plant, plants, soil, leaves, pot, roots, water, leaf, watering, light",
30,30,136,0.422,"opie, show, spaceedge, howard, podcast, funny, episode, anthony, joe, ant","trump, joe, rogan, comedy, funny, tony, show, howard, podcast, bapa",
83,83,114,0.288,"pokemon, added, ign, shiny, trade, deposited, female, add, ball, sent","pokemon, shiny, mon, pok, gen, mons, trade, team, game, ash",
24,24,91,0.263,"unpaid, original, paypal, borrower, date, lender, paid, loans, amazon, win","usd, boost, loan, referral, borrower, lender, unpaid, repaid, paid, loans",
23,23,147,0.223,"weed, drugs, lsd, dose, drug, trip, mdma, take, day, feel","sober, drinking, dose, alcohol, weed, drink, iwndwyt, day, drugs, trip",
26,26,181,0.175,"anime, manga, episode, series, show, episodes, arc, mal, character, characters","anime, manga, sukuna, gojo, luffy, naruto, fight, arc, chapter, character",
4,4,4,0.166,"sydney, melbourne, imagesofnetwork, afl, australia, brisbane, year, nrl, adelaide, last","australia, sydney, year, melbourne, brisbane, work, years, australian, pay, car",
16,16,173,0.153,"minecraft, server, blocks, block, jar, java, redstone, world, pack, nether","minecraft, server, java, purpose, bedrock, rules, quality, breaks, blocks, fabric",
52,52,161,0.142,"server, network, router, plex, windows, file, work, data, security, access","security, network, server, windows, job, user, microsoft, company, azure, data",
63,63,197,0.137,"irl, guy, someone, right, actually, fucking, thing, something, never, man","guy, right, fucking, man, video, someone, gif, trump, thing, actually",
38,38,36,-0.101,"army, military, navy, recruiter, duty, school, job, unit, officer, enlisted","army, military, claim, recruiter, navy, duty, service, job, unit, medical",
33,33,121,-0.117,"book, books, read, writing, story, reading, series, fantasy, characters, write","book, books, read, writing, story, reading, write, novel, series, fiction",
36,36,148,-0.12,"ronald, mcdonald, episode, show, season, rick, ford, scene, episodes, character","show, season, episode, character, episodes, scene, seasons, characters, watching, watch",
64,64,119,-0.129,"remember, house, happened, police, evidence, case, something, believe, found, never","evidence, case, murder, crime, police, dna, trial, gypsy, family, believe",
57,57,133,-0.171,"weight, calories, eat, fat, lbs, gym, day, eating, protein, keto","weight, calories, eating, eat, fat, protein, diet, calorie, food, lbs",
81,81,99,-0.186,"school, patient, mcat, patients, medical, med, nursing, schools, nurse, medicine","patient, patients, nurse, nursing, school, hospital, medical, nurses, med, program",
84,84,194,-0.202,"game, war, civ, server, play, map, base, any, build, playing","game, ship, ships, build, base, war, map, empire, play, units",
11,11,75,-0.221,"race, car, racing, cars, driver, drivers, nascar, hamilton, ferrari, races","race, car, cars, racing, races, max, ferrari, track, driver, drivers",
2,2,48,-0.349,"bitcoin, btc, ethereum, eth, blockchain, wallet, fork, dao, transactions, transaction","tip, donut, bitcoin, crypto, tipped, btc, wallet, earn, archived, eth",
3,3,10,-0.471,"sex, girl, sexy, looking, kik, cock, hot, cum, body, women","kinks, hai, wanna, sex, looking, chat, roleplay, hot, horny, wife",
