jahr_von,jahr_bis,cluster_alt,cluster_neu,schnitt,n_alt,n_neu,anteil_alt,anteil_neu,jaccard
2016,2017,0,1,30,30,32,1,0.9375,0.9375
2016,2017,1,0,138,139,150,0.9928057553956835,0.92,0.9139072847682119
2016,2017,1,72,1,139,164,0.007194244604316547,0.006097560975609756,0.0033112582781456954
2016,2017,2,2,67,72,141,0.9305555555555556,0.475177304964539,0.4589041095890411
2016,2017,2,4,1,72,78,0.013888888888888888,0.01282051282051282,0.006711409395973154
2016,2017,2,9,1,72,166,0.013888888888888888,0.006024096385542169,0.004219409282700422
2016,2017,2,75,1,72,106,0.013888888888888888,0.009433962264150943,0.005649717514124294
2016,2017,3,6,16,1662,35,0.009626955475330927,0.45714285714285713,0.009518143961927425
2016,2017,3,7,1601,1662,1868,0.9632972322503008,0.857066381156317,0.8299637117677553
2016,2017,3,15,2,1662,892,0.0012033694344163659,0.002242152466367713,7.836990595611285e-4
2016,2017,3,58,3,1662,109,0.0018050541516245488,0.027522935779816515,0.0016968325791855204
2016,2017,3,69,2,1662,477,0.0012033694344163659,0.0041928721174004195,9.358914365933552e-4
2016,2017,3,73,18,1662,1072,0.010830324909747292,0.016791044776119403,0.0066273932253313695
2016,2017,3,87,4,1662,509,0.0024067388688327317,0.007858546168958742,0.0018458698661744347
2016,2017,4,4,70,74,78,0.9459459459459459,0.8974358974358975,0.8536585365853658
2016,2017,4,10,2,74,59,0.02702702702702703,0.03389830508474576,0.015267175572519083
2016,2017,4,14,1,74,123,0.013513513513513514,0.008130081300813009,0.00510204081632653
2016,2017,5,8,64,65,79,0.9846153846153847,0.810126582278481,0.8
2016,2017,5,73,1,65,1072,0.015384615384615385,9.328358208955224e-4,8.802816901408451e-4
2016,2017,6,7,1,154,1868,0.006493506493506494,5.353319057815846e-4,4.948045522018803e-4
2016,2017,6,9,148,154,166,0.961038961038961,0.891566265060241,0.8604651162790697
2016,2017,6,14,1,154,123,0.006493506493506494,0.008130081300813009,0.0036231884057971015
2016,2017,6,44,1,154,80,0.006493506493506494,0.0125,0.004291845493562232
2016,2017,6,63,1,154,100,0.006493506493506494,0.01,0.003952569169960474
2016,2017,6,73,1,154,1072,0.006493506493506494,9.328358208955224e-4,8.163265306122449e-4
2016,2017,7,16,60,60,65,1,0.9230769230769231,0.9230769230769231
2016,2017,8,16,1,62,65,0.016129032258064516,0.015384615384615385,0.007936507936507936
2016,2017,8,17,59,62,62,0.9516129032258065,0.9516129032258065,0.9076923076923077
2016,2017,8,46,1,62,79,0.016129032258064516,0.012658227848101266,0.007142857142857143
2016,2017,9,8,1,31,79,0.03225806451612903,0.012658227848101266,0.009174311926605505
2016,2017,9,73,1,31,1072,0.03225806451612903,9.328358208955224e-4,9.074410163339383e-4
2016,2017,10,10,53,55,59,0.9636363636363636,0.8983050847457628,0.8688524590163934
2016,2017,10,13,2,55,285,0.03636363636363636,0.007017543859649123,0.005917159763313609
2016,2017,11,12,35,40,45,0.875,0.7777777777777778,0.7
2016,2017,11,13,3,40,285,0.075,0.010526315789473684,0.009316770186335404
2016,2017,12,4,1,281,78,0.0035587188612099642,0.01282051282051282,0.002793296089385475
2016,2017,12,12,2,281,45,0.0071174377224199285,0.044444444444444446,0.006172839506172839
2016,2017,12,13,247,281,285,0.8790035587188612,0.8666666666666667,0.774294670846395
2016,2017,12,71,2,281,76,0.0071174377224199285,0.02631578947368421,0.005633802816901409
2016,2017,12,73,1,281,1072,0.0035587188612099642,9.328358208955224e-4,7.396449704142012e-4
2016,2017,12,87,1,281,509,0.0035587188612099642,0.0019646365422396855,0.0012674271229404308
2016,2017,13,18,41,46,44,0.8913043478260869,0.9318181818181818,0.8367346938775511
2016,2017,14,3,1,85,35,0.011764705882352941,0.02857142857142857,0.008403361344537815
2016,2017,14,24,79,85,103,0.9294117647058824,0.7669902912621359,0.7247706422018348
2016,2017,15,14,1,240,123,0.004166666666666667,0.008130081300813009,0.0027624309392265192
2016,2017,15,15,2,240,892,0.008333333333333333,0.002242152466367713,0.0017699115044247787
2016,2017,15,25,97,240,102,0.4041666666666667,0.9509803921568627,0.39591836734693875
2016,2017,15,26,34,240,34,0.14166666666666666,1,0.14166666666666666
