FILLER,min_cut,n,rho_pct,rho_dz
0.15,0,81,0.5974932249322493,0.5869467028003613
0.15,0.2,75,0.5978947368421051,0.5910668563300142
0.15,0.25,67,0.6538031766302179,0.6645781786255887
0.15,0.3,60,0.6440122256182275,0.6580161155876634
0.2,0,80,0.5907876230661041,0.5935302390998594
0.2,0.2,75,0.6722332859174964,0.6758179231863441
0.2,0.25,71,0.6526827632461435,0.656673373574782
0.2,0.3,58,0.6842105263157895,0.6881478975053062
0.25,0,81,0.5800135501355014,0.5576106594399277
0.25,0.2,78,0.5666358957498197,0.5441267593166327
0.25,0.25,71,0.6540912139503688,0.644936284372904
0.25,0.3,62,0.7117675203344161,0.7047165772707814
0.3,0,80,0.6233473980309423,0.6155649320206282
0.3,0.2,78,0.6162571605609579,0.6056854537867195
0.3,0.25,70,0.7057125360860818,0.708966844545534
0.3,0.3,62,0.7660597819244038,0.772506358439727
0.4,0,82,0.6679835874663967,0.6684407004712617
0.4,0.2,79,0.6534079844206427,0.6600778967867575
0.4,0.25,75,0.6825889046941678,0.6837268847795163
0.4,0.3,66,0.743325331385033,0.7370211877674566
0.5,0,83,0.592376474539272,0.5889341337475336
0.5,0.2,80,0.6178621659634318,0.619690576652602
0.5,0.25,75,0.671664295874822,0.6712091038406827
0.5,0.3,67,0.6824567004549447,0.6754329954505548
