id,mein_label
V001,false
V002,false
V003,true
V004,false
V005,false
V006,false
V007,unsicher
V008,false
V009,false
V010,false
V011,true
V012,false
V013,true
V014,true
V015,false
V016,true
V017,false
V018,false
V019,false
V020,false
V021,true
V022,false
V023,true
V024,false
V025,false
V026,false
V027,false
V028,unsicher
V029,true
V030,false
V031,unsicher
V032,false
V033,false
V034,false
V035,true
V036,false
V037,false
V038,false
V039,false
V040,true
V041,false
V042,false
V043,false
V044,false
V045,true
V046,true
V047,false
V048,false
V049,false
V050,false
V051,false
V052,false
V053,false
V054,true
V055,false
V056,false
V057,false
V058,false
V059,false
V060,true
V061,false
V062,false
V063,false
V064,true
V065,false
V066,true
V067,false
V068,false
V069,false
V070,false
V071,false
V072,false
V073,false
V074,false
V075,false
V076,true
V077,false
V078,false
V079,false
V080,false
V081,true
V082,false
V083,true
V084,false
V085,false
V086,false
V087,false
V088,false
V089,false
V090,true
V091,true
V092,unsicher
V093,false
V094,false
V095,false
V096,false
V097,false
V098,true
V099,true
V100,false
V101,true
V102,false
V103,true
V104,true
V105,false
V106,false
V107,false
V108,false
V109,false
V110,true
V111,false
V112,false
V113,false
V114,false
V115,false
V116,true
V117,false
V118,false
V119,false
V120,false
